标题,房屋类型,面积,方向,层数,建造时间,社区,区,地址,总价,每平方价格,每平方价格带单位,总价带单位,建筑年龄,价格差异
奥兰花园 近医院 南北通透 商圈成熟 商品房 满五,3室2厅1卫,162.0,南北,低层(共28层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,395.0,24383,24383元/m²,395.0万元,15.0,0.004599999999982174
永基美邻 近医院 高楼层视野好 出行方便 南北通透 小三房,3室2厅1卫,95.0,南北,高层(共6层),2008.0,永基美邻,郑东新区,农业东路农业东路,190.0,20000,20000元/m²,190.0万元,17.0,0.0
大两房 停车方便 房龄新 交通便利 产权清晰 精装修,2室2厅1卫,91.65,南北,低层(共31层),2018.0,建业天筑,郑东新区,康平路康宁街58号,238.0,25969,25969元/m²,238.0万元,7.0,0.005885000000006357
海马公园一期 中楼层 两梯三户 精装大三房,3室2厅2卫,128.86,南北,中层(共32层),2014.0,海马公园(A区),郑东新区,新东站片普惠路,270.0,20953,20953元/m²,270.0万元,11.0,0.0003580000000056316
商鼎路 医疗配套成熟 高楼层视野好 朝南 近地铁 正规商品房,2室2厅1卫,81.9,南,高层(共20层),2013.0,永威翡翠城,郑东新区,商鼎路商鼎路6号,149.0,18193,18193元/m²,149.0万元,12.0,0.0006700000000137152
财信圣堤亚纳 交通便捷 满五 南向采光好 临地铁,3室2厅2卫,148.0,南,低层(共34层),2013.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,280.0,18919,18919元/m²,280.0万元,12.0,0.0011999999999829924
财信圣堤亚纳 高楼层采光充足 双卫生间 满五 交通便利,3室2厅2卫,142.0,南北,高层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,215.0,15141,15141元/m²,215.0万元,11.0,0.0021999999999877673
奥兰花园 临地铁 满五 朝南 商圈成熟 商品房,3室2厅2卫,165.0,南北,低层(共31层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,400.0,24243,24243元/m²,400.0万元,15.0,0.009500000000002728
南熙福邸 地铁口 象湖畔送车位储物间. 精装可拎包住,3室2厅2卫,130.44,南,低层(共17层),2016.0,南熙福邸,郑东新区,郑东新区周边大有路23号,134.0,10273,10273元/m²,134.0万元,9.0,0.0010119999999744778
海马公园66公社 大两居 正规商品房 满二 近地铁,2室2厅1卫,82.78,南,中层(共23层),2015.0,海马公园66公社,郑东新区,"新东站片福禄东路,近普惠路",159.0,19208,19208元/m²,159.0万元,10.0,0.0038240000000087093
（精装修）东三环 贾鲁河旁 精装修 南北通透三居室 拎包入住,3室2厅2卫,128.59,南北,中层(共11层),2018.0,鸿园梧桐苑,郑东新区,鸿园片区鸿苑路66号,203.0,15787,15787元/m²,203.0万元,7.0,0.005032999999997401
满五 南北通透 近地铁 有电梯 高楼层采光充足,3室2厅1卫,122.1,南北,高层(共27层),2012.0,晖达新领地(西区),郑东新区,新东站片正光路,185.0,15152,15152元/m²,185.0万元,13.0,0.005920000000003256
专业代理各小区过户手续，业主急售中间好楼层，采光好税费低,3室2厅2卫,141.19,南北,中层(共34层),2015.0,绿地新里花园一期,郑东新区,列里路永平路19号,215.0,15228,15228元/m²,215.0万元,10.0,0.0041319999999700485
列里路 出行方便 近医院 南北通透 商圈成熟 电梯房,3室2厅2卫,140.92,南北,低层(共25层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,195.0,13838,13838元/m²,195.0万元,15.0,0.0050959999999804495
老街绿地郑东新苑三期 朝南 满五 低密宜居 出行方便 近医院,2室2厅1卫,98.01,南,中层(共6层),2010.0,老街绿地郑东新苑三期,郑东新区,绿地老街天赋路29号,179.0,18264,18264元/m²,179.0万元,15.0,0.005464000000017677
天赋路 双卫 商品房 精装可拎包入住 近地铁 医疗配套成熟,3室2厅2卫,138.0,南,低层(共6层),2007.0,中信嘉苑,郑东新区,天赋路天时路9号,189.0,13696,13696元/m²,189.0万元,18.0,0.004799999999988813
黄河东路 精装可拎包入住 电梯房 近地铁 高绿化 满五,3室2厅2卫,140.91,南北,高层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,240.0,17033,17033元/m²,240.0万元,11.0,0.01200299999999288
中豪汇景湾 近地铁 近医院 楼龄新 刚需两居 精装可拎包入住,2室1厅1卫,87.71,南,低层(共30层),2014.0,中豪汇景湾,郑东新区,祥盛街祥盛街59号,147.0,16760,16760元/m²,147.0万元,11.0,0.001959999999996853
满五 商圈成熟 双卫格局 医疗配套成熟 临地铁 朝南,4室2厅2卫,91.33,南,低层(共18层),2008.0,立体世界,郑东新区,黄河南路黄河东路91号,200.0,21899,21899元/m²,200.0万元,17.0,0.0035670000000038726
龙子湖 正商洋房 一梯两户 不临高架 楼层好 价格可谈,4室2厅2卫,177.47,南北,中层(共8层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,385.0,21694,21694元/m²,385.0万元,9.0,0.0034180000000105792
正商物业 精装大两房 中间楼层 不临高架 价格可谈,2室2厅1卫,89.6,南北,高层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,165.0,18416,18416元/m²,165.0万元,9.0,0.007359999999977163
永威纯南方正户型，单价 00多就考虑出，靠谱随时看！!,3室2厅2卫,148.97,南,低层(共26层),2015.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",280.0,18796,18796元/m²,280.0万元,10.0,0.004011999999988802
海马公园(A区) 商业配套齐全 近地铁 楼层好 大两居,2室2厅1卫,92.0,南,中层(共33层),2015.0,海马公园(A区),郑东新区,新东站片普惠路,180.0,19566,19566元/m²,180.0万元,10.0,0.0072000000000116415
医疗配套成熟 刚需两居 商品房 带电梯 商圈成熟 正南朝向,2室2厅1卫,91.78,东南,中层(共27层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,160.0,17433,17433元/m²,160.0万元,13.0,7.400000001211993e-05
商圈成熟 出行方便 中间楼层采光好 双卫格局 近医院 有电梯,3室2厅2卫,134.5,南北,中层(共33层),2013.0,海马公园(A区),郑东新区,新东站片普惠路,320.0,23792,23792元/m²,320.0万元,12.0,0.0024000000000228283
医疗配套成熟 商业配套齐全 交通便捷 大两居 近地铁,2室2厅1卫,91.17,南,低层(共32层),2016.0,海马公园(A区),郑东新区,新东站片普惠路,160.0,17550,17550元/m²,160.0万元,9.0,0.0033500000000117325
新东站片 满五 南北通透 商圈成熟 医疗配套成熟,3室2厅2卫,132.0,南北,高层(共18层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,360.0,27273,27273元/m²,360.0万元,15.0,0.0036000000000058208
东方鼎盛时代三期 商业配套成熟 双卫生间 医疗配套成熟,3室2厅2卫,130.29,南北,低层(共11层),2012.0,东方鼎盛时代三期,郑东新区,商鼎路榆林南路,290.0,22259,22259元/m²,290.0万元,13.0,0.012510999999960859
通泰路 满五 刚需两居 商业配套成熟 朝南 精装可拎包入住,2室2厅1卫,92.76,南,中层(共17层),2015.0,曙光苑,郑东新区,通泰路千宁路6号,160.0,17249,17249元/m²,160.0万元,10.0,0.00172399999999584
近地铁 商圈成熟 大两居 电梯房 近医院 小区新 居家自住,2室2厅1卫,91.16,南,高层(共32层),2016.0,海马公园(A区),郑东新区,新东站片普惠路,160.0,17552,17552元/m²,160.0万元,9.0,0.004031999999995151
好房 海马公园五期 次新小区 装修花了25万 近期必卖,2室2厅1卫,88.46,南,中层(共33层),2018.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",175.0,19783,19783元/m²,175.0万元,7.0,0.0004179999999962547
（急售）满五 中间楼层精装通透，采光好，随时可看,3室2厅2卫,141.19,南北,中层(共34层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,200.0,14166,14166元/m²,200.0万元,15.0,0.00975400000001514
广电天韵 精致大三房 南北通透 边户户型 中间楼层 价格可谈,3室2厅2卫,139.0,南北,中层(共27层),2017.0,广电天韵,郑东新区,龙子湖晨晖路1号,315.0,22662,22662元/m²,315.0万元,8.0,0.0018000000000029104
永威翡翠城 商品住宅 满五 商业配套成熟 中间楼层,3室2厅2卫,140.0,南北,中层(共20层),2013.0,永威翡翠城,郑东新区,商鼎路商鼎路6号,315.0,22500,22500元/m²,315.0万元,12.0,0.0
双卫格局 商业配套成熟 有电梯 临地铁 南向采光好 环境优美,3室2厅2卫,141.0,南,高层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,256.0,18157,18157元/m²,256.0万元,11.0,0.013699999999971624
正弘山 产权清晰 有电梯 装修好 出行方便 商圈成熟,3室2厅2卫,135.0,南北,低层(共18层),2009.0,正弘山,郑东新区,通泰路通泰路66号,188.0,13926,13926元/m²,188.0万元,16.0,0.0010000000000047748
必看好房！海马公园三期 中间楼层 次新房 三开间朝南,2室2厅1卫,91.78,南,中层(共24层),2017.0,海马公园(C区),郑东新区,新东站片普惠路39号,185.0,20157,20157元/m²,185.0万元,8.0,0.0009459999999990032
高铁东站，商业中心，鑫苑鑫城，中间楼层通透小三房，业主着急卖,3室2厅1卫,86.27,南北,中层(共33层),2015.0,鑫苑鑫城,郑东新区,东风南路康平路89号,155.0,17967,17967元/m²,155.0万元,10.0,0.001308999999992011
高铁站 龙子湖 南北通透 高楼层视野好送车位 临地铁,4室2厅2卫,143.8,南北,高层(共30层),2021.0,碧桂园天琴湾,郑东新区,龙子湖明理路,290.0,20167,20167元/m²,290.0万元,4.0,0.0014600000000086766
诚心出售！碧桂园天琴湾西苑146平 随时看房精装小高层,4室2厅2卫,146.0,南北,低层(共18层),2021.0,碧桂园天琴湾,郑东新区,龙子湖明理路,360.0,24658,24658元/m²,360.0万元,4.0,0.006799999999998363
海马公园(C区) 有电梯 商业配套齐全 刚需两居 车位充足,2室2厅1卫,91.57,南,中层(共27层),2016.0,海马公园(C区),郑东新区,新东站片普惠路39号,180.0,19658,19658元/m²,180.0万元,9.0,0.008305999999976166
海马公园(A区) 医疗配套成熟 楼龄新 大两房 电梯房,2室2厅1卫,91.34,南,中层(共27层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,168.0,18393,18393元/m²,168.0万元,13.0,0.0016620000000102664
双卫生间 电梯房 次新房 中间好楼层 停车方便 南北通透,3室2厅2卫,121.0,南北,中层(共25层),2023.0,蓝宝桃源居,郑东新区,"龙子湖小夏街,近薛夏南街",170.0,14050,14050元/m²,170.0万元,2.0,0.0049999999999954525
通泰路 满二 双卫 临地铁 南北通透 购物方便,3室2厅2卫,129.52,南北,高层(共6层),2006.0,金色年华,郑东新区,通泰路通泰路42号,155.0,11968,11968元/m²,155.0万元,19.0,0.009535999999997102
新里卢浮公馆一期 交通便捷 商业配套齐全 电梯房 朝南,2室2厅1卫,89.41,南,高层(共23层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,185.0,20692,20692元/m²,185.0万元,15.0,0.00717199999999707
新里卢浮公馆一期 满五 有电梯 商业配套齐全 正规商品房,3室2厅2卫,140.0,东,低层(共27层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,185.0,13215,13215元/m²,185.0万元,15.0,0.009999999999990905
新里卢浮公馆一期 交通便利 有电梯 装修好 满五,2室1厅1卫,86.94,南,低层(共27层),2011.0,绿地新里花园一期,郑东新区,列里路永平路19号,140.0,16104,16104元/m²,140.0万元,14.0,0.008175999999991745
满五年一楼带花园 装修过 看房有钥匙 采光好 南北通透,2室2厅1卫,97.7,南北,低层(共8层),2010.0,老街绿地郑东新苑三期,郑东新区,绿地老街天赋路29号,199.0,20369,20369元/m²,199.0万元,15.0,0.005130000000008295
（急售）地铁口，小高层电梯三居室，停车方便，业主诚心。,3室2厅1卫,138.93,南北,高层(共11层),2006.0,宏光鑫城,郑东新区,兴荣街千宁街3号,230.0,16556,16556元/m²,230.0万元,19.0,0.012507999999996855
雅居乐国际花园中装4房带车位.伶包入住.好楼层.东边户急售卖,4室2厅2卫,134.72,南北,中层(共26层),2016.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,150.0,11135,11135元/m²,150.0万元,9.0,0.01071999999999207
永威翡翠城 大两居 满五 交通便捷 近地铁 商品住宅,2室2厅1卫,90.25,南,中层(共20层),2011.0,永威翡翠城,郑东新区,商鼎路商鼎路6号,160.0,17729,17729元/m²,160.0万元,14.0,0.0042249999999910415
东方鼎盛时代三期 南北通透 满五 商品住宅 刚需小三居,3室1厅1卫,91.67,南北,高层(共11层),2012.0,东方鼎盛时代三期,郑东新区,商鼎路榆林南路,200.0,21818,21818元/m²,200.0万元,13.0,0.005606000000000222
建业如意家园 近医院 南北通透 楼层好 出行方便 近地铁,3室2厅1卫,125.68,南北,中层(共11层),2010.0,建业如意家园,郑东新区,东风东路祥盛街29-16号,232.0,18460,18460元/m²,232.0万元,15.0,0.005280000000027485
康平一小 96中 家门口大两居 近地铁 满五 明厨明卫,2室2厅1卫,86.51,西南,低层(共27层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,122.0,14103,14103元/m²,122.0万元,15.0,0.005053000000003749
龙鑫苑 双卫生间 出行方便 医疗配套成熟 停车方便 满五,3室2厅2卫,128.39,南北,低层(共6层),2006.0,龙鑫苑,郑东新区,兴荣街通泰路41号,182.0,14176,14176元/m²,182.0万元,19.0,0.0056639999999958945
老街二期 精装通透两房 装修不错直接入住,2室2厅1卫,93.09,南,高层(共6层),2008.0,老街绿地郑东新苑二期,郑东新区,绿地老街天赋路28号,160.0,17188,17188元/m²,160.0万元,17.0,0.0030920000000094205
碧桂园天琴湾 电梯房 次新房 配套齐全 正南朝向,4室2厅2卫,146.88,南,高层(共16层),2021.0,碧桂园天琴湾,郑东新区,龙子湖明理路,358.0,24374,24374元/m²,358.0万元,4.0,0.005312000000003536
新东站片 商品房 中间楼层 临地铁 南向采光好 大两居,2室2厅1卫,92.76,南,中层(共33层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,162.0,17465,17465元/m²,162.0万元,13.0,0.005340000000018108
海马公园(A区) 临地铁 产权清晰 精装可拎包入住,2室2厅1卫,94.16,南,高层(共27层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,175.0,18586,18586元/m²,175.0万元,13.0,0.005775999999997339
海马公园(A区) 满二 大两房 精装修 医疗配套成熟,2室2厅1卫,91.34,南,中层(共27层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,170.0,18612,18612元/m²,170.0万元,13.0,0.0020080000000177733
海马公园(A区) 商圈成熟 满二 装修好 小区新,3室2厅2卫,131.0,南北,中层(共32层),2015.0,海马公园(A区),郑东新区,新东站片普惠路,309.0,23588,23588元/m²,309.0万元,10.0,0.0027999999999792635
省SH 验，精装修大三居，拎包入住，来吧！,3室2厅2卫,127.11,南,中层(共11层),2019.0,鸿园梧桐苑,郑东新区,鸿园片区鸿苑路66号,245.0,19275,19275元/m²,245.0万元,6.0,0.0045250000000010004
带电梯 临地铁 近医院 满五 交通便捷 南北通透,3室2厅1卫,124.42,南北,低层(共27层),2012.0,晖达新领地(西区),郑东新区,新东站片正光路,158.0,12699,12699元/m²,158.0万元,13.0,0.0009579999999971278
晖达新领地(西区) 近地铁 产权清晰 满五 近医院,3室2厅1卫,122.04,南北,低层(共27层),2012.0,晖达新领地(西区),郑东新区,新东站片正光路,162.0,13275,13275元/m²,162.0万元,13.0,0.008100000000013097
英地金台 双卫生间 满五 出行方便 商品住宅 南北通透,3室2厅2卫,122.0,南北,低层(共32层),2016.0,英地金台府邸,郑东新区,新东站片永平路80号,215.0,17623,17623元/m²,215.0万元,9.0,0.0005999999999914962
农业南路 刚需小三居 带电梯 正南朝向 商品房 满五,3室2厅1卫,90.0,南,高层(共18层),2010.0,青春圣地,郑东新区,农业南路七里河南路,156.0,17334,17334元/m²,156.0万元,15.0,0.006000000000000227
（样板间装修） 广电天韵！中间楼层 方正户型 契税满两年！,3室2厅2卫,139.0,南北,中层(共27层),2017.0,广电天韵,郑东新区,龙子湖晨晖路1号,339.0,24389,24389元/m²,339.0万元,8.0,0.0070999999999799
永威五月花城 近地铁 南北通透 满五 交通便捷 装修好,3室2厅2卫,142.44,南北,低层(共26层),2014.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",350.0,24572,24572元/m²,350.0万元,11.0,0.0035680000000297696
永威翡翠城 出行方便 电梯房 双卫格局 商圈成熟 商品房,3室2厅2卫,151.0,南,低层(共20层),2011.0,永威翡翠城,郑东新区,商鼎路商鼎路6号,315.0,20861,20861元/m²,315.0万元,14.0,0.0011000000000080945
（急售）农业南路，鼎盛时代一期，南北通透两居室。,2室2厅1卫,87.16,南北,高层(共19层),2012.0,东方鼎盛时代(一期),郑东新区,农业南路和光街,153.0,17554,17554元/m²,153.0万元,13.0,0.000664000000000442
交通便利 医疗配套成熟 正南朝向 临地铁 小三房 中间楼层,3室2厅1卫,92.1,南,中层(共34层),2011.0,绿地新里花园二期,郑东新区,列里路普惠路2号,160.0,17373,17373元/m²,160.0万元,14.0,0.005329999999986512
鑫苑中央花园(西区) 购物方便 正规商品房 电梯房 双卫生间,3室2厅2卫,138.74,南北,低层(共11层),2005.0,鑫苑中央花园(西区),郑东新区,金水东路金水东路3号,260.0,18741,18741元/m²,260.0万元,20.0,0.012634000000048218
精装可拎包入住 医疗配套成熟 购物方便 南北通透 电梯房,3室2厅2卫,136.0,南北,低层(共18层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,265.0,19486,19486元/m²,265.0万元,15.0,0.009599999999977626
新东站片 电梯房 商圈成熟 近医院 满五 朝南 近地铁,2室2厅1卫,86.0,南,低层(共27层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,170.0,19768,19768元/m²,170.0万元,15.0,0.004799999999988813
好房推荐 正商东方港湾 两梯两户 中间楼层 总高18层 急卖,3室2厅1卫,127.0,南,高层(共18层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,215.0,16930,16930元/m²,215.0万元,15.0,0.01099999999999568
业主急售正商书香华府精装两房 好位置好楼层 价格可大刀 急急,2室2厅1卫,89.0,南,中层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,160.0,17978,17978元/m²,160.0万元,9.0,0.004199999999997317
鑫苑鑫城 满五 电梯房 近医院 高楼层采光充足 商品住宅,3室2厅1卫,88.79,南北,高层(共33层),2016.0,鑫苑鑫城,郑东新区,东风南路康平路89号,153.0,17232,17232元/m²,153.0万元,9.0,0.002927999999997155
满二 商业配套成熟 近医院 精装修 交通便利 临地铁,3室2厅1卫,144.39,南北,高层(共32层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,338.0,23409,23409元/m²,338.0万元,15.0,0.0025509999999826505
老街绿地郑东新苑四期 商品住宅 出行方便 电梯房 低容积,3室2厅2卫,140.0,南,低层(共8层),2010.0,老街绿地郑东新苑四期,郑东新区,绿地老街天赋路30号,305.0,21786,21786元/m²,305.0万元,15.0,0.004000000000019099
旭日龙园 电梯房 商业配套成熟 临地铁 满五 朝南 出行方便,3室2厅1卫,121.33,南,低层(共31层),2014.0,旭日龙园,郑东新区,商都路商都路,134.0,11045,11045元/m²,134.0万元,11.0,0.00898499999999558
商品房 满二 商圈成熟 次新房 南北通透 带电梯,3室2厅2卫,124.97,南北,低层(共6层),2021.0,东润城(三期裕园),郑东新区,郑东新区周边原圃路30号,120.0,9603,9603元/m²,120.0万元,4.0,0.008690999999984683
龙子湖 广电天韵 南北通透三房 价格可谈 满两年,3室2厅2卫,124.23,南北,低层(共27层),2017.0,广电天韵,郑东新区,龙子湖晨晖路1号,270.0,21734,21734元/m²,270.0万元,8.0,0.0014820000000099753
新里卢浮公馆一期 有电梯 商圈成熟 正规商品房 满五,2室2厅1卫,89.33,南北,高层(共33层),2011.0,绿地新里花园一期,郑东新区,列里路永平路19号,136.0,15225,15225元/m²,136.0万元,14.0,0.004924999999985857
绿地新里花园一期 带电梯 满五 商品住宅 临地铁 小三房,3室2厅1卫,89.98,南北,低层(共22层),2015.0,绿地新里花园一期,郑东新区,列里路永平路19号,109.0,12114,12114元/m²,109.0万元,10.0,0.0017720000000025493
（急售）地铁口，永威翡翠城，通透三居室。随时可看,3室2厅2卫,141.6,南,中层(共20层),2011.0,永威翡翠城,郑东新区,商鼎路商鼎路6号,338.0,23871,23871元/m²,338.0万元,14.0,0.013360000000034233
财信圣堤亚纳 满五 带电梯 近医院 双卫生间 产权清晰,4室2厅2卫,143.56,南北,低层(共34层),2013.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,230.0,16022,16022元/m²,230.0万元,12.0,0.011831999999969867
财信圣堤亚纳，南北通透四房，3号线地铁，七里河旁，精装修,4室2厅2卫,143.56,南北,低层(共34层),2013.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,240.0,16718,16718元/m²,240.0万元,12.0,0.0036080000000140444
财信圣堤亚纳 环境优美 商业配套齐全 出行方便 双卫 楼层好,4室2厅2卫,143.56,南北,中层(共34层),2013.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,240.0,16718,16718元/m²,240.0万元,12.0,0.0036080000000140444
次新小区中州府带电梯 近地铁 满两年税费少 视野好直观CBD,3室2厅2卫,134.9,南北,中层(共34层),2022.0,中州府,郑东新区,"CBD中州大道,近福元路",220.0,16309,16309元/m²,220.0万元,3.0,0.008409999999997808
美之域小区 医疗配套成熟 交通便利 满五 商品住宅,3室2厅1卫,81.65,东,低层(共25层),2009.0,美之域小区,郑东新区,黄河南路黄河东路128号,140.0,17147,17147元/m²,140.0万元,16.0,0.005255000000005339
临地铁 装修好 出行方便 医疗配套成熟 满五 小三居,3室1厅1卫,95.0,东南,低层(共18层),2008.0,立体世界,郑东新区,黄河南路黄河东路91号,148.0,15579,15579元/m²,148.0万元,17.0,0.0004999999999881766
龙祥苑 交通便利 商品住宅 近医院 购物方便 南向采光好,4室1厅2卫,123.91,南北,中层(共6层),2005.0,龙祥苑,郑东新区,兴荣街商鼎路,188.0,15173,15173元/m²,188.0万元,20.0,0.008643000000006396
新里卢浮公馆二期 满五 医疗配套成熟 出行方便 商业配套成熟,3室1厅1卫,92.07,南北,高层(共34层),2012.0,绿地新里花园二期,郑东新区,列里路普惠路2号,155.0,16836,16836元/m²,155.0万元,13.0,0.00905199999996853
刚需两居 临地铁 交通便利 电梯房 南向采光好 商品住宅,2室2厅1卫,92.0,南,低层(共16层),2008.0,鑫苑中央花园(西区),郑东新区,金水东路金水东路3号,115.0,12500,12500元/m²,115.0万元,17.0,0.0
万林府3号院 次新小区 板楼 商品房 双卫 南北通透,3室2厅2卫,136.7,南北,低层(共15层),2021.0,万林府3号院,郑东新区,"杨金片区永兴路,近马林路",158.0,11559,11559元/m²,158.0万元,4.0,0.011529999999993379
永威五月花城 满五 280 高楼层采光充足 带车位,3室2厅2卫,149.77,南北,高层(共26层),2014.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",300.0,20031,20031元/m²,300.0万元,11.0,0.0042870000000334585
金水东路 正南朝向 电梯房 购物方便 近医院 出行方便,2室2厅1卫,90.0,南,低层(共18层),2007.0,鑫苑中央花园(东区),郑东新区,金水东路金水东路7号,165.0,18334,18334元/m²,165.0万元,18.0,0.006000000000000227
（店长力推）总高11层，一梯两户，南北通透，不临路，中高楼层,3室2厅2卫,137.03,南,高层(共11层),2007.0,鑫苑中央花园(东区),郑东新区,金水东路金水东路7号,242.0,17661,17661元/m²,242.0万元,18.0,0.008683000000019092
海马公园(D区) 大两居 商业配套齐全 正规商品房 带电梯,2室2厅1卫,86.0,东北,中层(共33层),2017.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",160.0,18605,18605元/m²,160.0万元,8.0,0.002999999999985903
晖达新领地(西区) 医疗配套成熟 满五 临地铁 交通便捷,3室2厅1卫,122.1,南,低层(共27层),2012.0,晖达新领地(西区),郑东新区,新东站片正光路,167.0,13678,13678元/m²,167.0万元,13.0,0.008379999999988286
新东站新房 上春华 晖达新天地 精质两居室 随时看房,2室2厅1卫,85.0,南,高层(共33层),2016.0,晖达新天地,郑东新区,新东站片七里河北路,109.0,12824,12824元/m²,109.0万元,9.0,0.0040000000000048885
奥兰花园 带电梯 南北通透 出行方便 精装可拎包入住,3室2厅1卫,89.53,南北,低层(共31层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,230.0,25690,25690元/m²,230.0万元,15.0,0.0025700000000199452
小三居 出行方便 商品房 近地铁 商业配套成熟 装修好,3室2厅1卫,92.1,南,中层(共34层),2011.0,绿地新里花园二期,郑东新区,列里路普惠路2号,180.0,19544,19544元/m²,180.0万元,14.0,0.00023999999999091415
新里卢浮公馆二期 医疗配套成熟 商品房 购物方便 南北通透,3室2厅2卫,131.43,南北,中层(共34层),2011.0,绿地新里花园二期,郑东新区,列里路普惠路2号,185.0,14076,14076元/m²,185.0万元,14.0,0.000868000000025404
（急售）鑫苑西苑，步梯通透三居室，业主诚心随时可看。,3室2厅1卫,125.0,南北,中层(共6层),2005.0,鑫苑中央花园(西区),郑东新区,金水东路金水东路3号,210.0,16800,16800元/m²,210.0万元,20.0,0.0
正商东方港湾 购物方便 交通便捷 满五 临地铁 精装好房,2室2厅1卫,93.38,南北,低层(共18层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,185.0,19812,19812元/m²,185.0万元,15.0,0.004455999999976257
正商东方港湾 满五 精装好房 交通便捷 南向采光好 电梯房,2室2厅1卫,85.99,南,中层(共27层),2011.0,正商东方港湾,郑东新区,新东站片康平路9号,156.0,18142,18142元/m²,156.0万元,14.0,0.0030579999999815755
新东站片 中间楼层 购物方便 近地铁 满五 大两房 朝南,2室2厅1卫,87.0,南,中层(共27层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,160.0,18391,18391元/m²,160.0万元,15.0,0.0016999999999995907
电梯房 刚需两居 临地铁 商业配套成熟 正南朝向,2室2厅1卫,92.0,南,高层(共18层),2007.0,鑫苑中央花园(东区),郑东新区,金水东路金水东路7号,145.0,15761,15761元/m²,145.0万元,18.0,0.0012000000000114142
海马公园三期 不临街不临路 精装2房 全南户型 采光好,2室2厅1卫,90.4,南,高层(共33层),2017.0,海马公园(C区),郑东新区,新东站片普惠路39号,190.0,21018,21018元/m²,190.0万元,8.0,0.002720000000010714
购物方便 满二 有电梯 高楼层采光充足 装修好 大两房,2室2厅1卫,85.83,南,高层(共32层),2016.0,英地金台府邸,郑东新区,新东站片永平路80号,132.0,15380,15380元/m²,132.0万元,9.0,0.0065400000000011005
永威翡翠城 商业配套成熟 满五 正规商品房 出行方便,2室2厅1卫,90.12,南,高层(共20层),2011.0,永威翡翠城,郑东新区,商鼎路商鼎路6号,170.0,18864,18864元/m²,170.0万元,14.0,0.0023680000000183554
永威翡翠城 临地铁 装修好 高楼层视野好 电梯房 近医院,4室2厅2卫,143.0,南北,高层(共27层),2011.0,永威翡翠城,郑东新区,商鼎路商鼎路6号,350.0,24476,24476元/m²,350.0万元,14.0,0.006799999999998363
满二 高楼层视野无遮挡 出行方便 精装好房 产权清晰 电梯房,2室2厅1卫,95.65,南,高层(共18层),2008.0,龙腾盛世,郑东新区,黄河南路金水东路11号,180.0,18819,18819元/m²,180.0万元,17.0,0.003735000000006039
中义阿卡迪亚 精装好房 南北通透 医疗配套成熟 小区绿化高,3室2厅2卫,138.02,南北,低层(共10层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,360.0,26084,26084元/m²,360.0万元,18.0,0.011368000000004486
新里卢浮公馆一期 交通便利 大两房 满五 高楼层视野无遮挡,2室2厅1卫,89.0,南,高层(共30层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,140.0,15731,15731元/m²,140.0万元,15.0,0.005899999999996908
郑东CBD 龙鑫苑 聚源路总校 十一中 一梯两户 高得房率！,3室2厅1卫,127.78,南北,中层(共6层),2006.0,龙鑫苑,郑东新区,兴荣街通泰路41号,148.0,11583,11583元/m²,148.0万元,19.0,0.007574000000005299
